pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f
MMR011,Mon,MMR011D001,Mawlamyine,MMR011005,Mudon,39312,28478,10834
MMR011,Mon,MMR011D001,Mawlamyine,MMR011006,Ye,53448,40599,12849
MMR011,Mon,MMR011D002,Thaton,MMR011007,Thaton,48284,33596,14688
MMR011,Mon,MMR011D002,Thaton,MMR011008,Paung,43726,30421,13305
MMR011,Mon,MMR011D002,Thaton,MMR011009,Kyaikto,38088,28176,9912
MMR011,Mon,MMR011D002,Thaton,MMR011010,Bilin,39231,29057,10174
MMR012,Rakhine,MMR012D001,Sittwe,MMR012001,Sittwe,29036,18383,10653
MMR012,Rakhine,MMR012D001,Sittwe,MMR012002,Ponnagyun,25335,19050,6285
MMR012,Rakhine,MMR012D001,Sittwe,MMR012007,Pauktaw,30544,23703,6841
MMR012,Rakhine,MMR012D001,Sittwe,MMR012008,Rathedaung,24341,15161,9180
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012003,Mrauk-U,41525,31260,10265
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012004,Kyauktaw,36495,26629,9866
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012005,Minbya,36628,28326,8302
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012006,Myebon,31339,26101,5238
MMR012,Rakhine,MMR012D002,Maungdaw,MMR012009,Maungdaw,7896,5974,1922
MMR012,Rakhine,MMR012D002,Maungdaw,MMR012010,Buthidaung,11264,8804,2460
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012011,Kyaukpyu,37264,29308,7956
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012012,Munaung,14735,11080,3655
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012013,Ramree,22418,17244,5174
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012014,Ann,27359,23240,4119
MMR012,Rakhine,MMR012D004,Thandwe,MMR012015,Thandwe,31075,25044,6031
MMR012,Rakhine,MMR012D004,Thandwe,MMR012016,Toungup,35192,28948,6244
MMR012,Rakhine,MMR012D004,Thandwe,MMR012017,Gwa,17326,14698,2628
MMR013,Yangon,MMR013D001,Yangon (North),MMR013001,Insein,61676,45309,16367
MMR013,Yangon,MMR013D001,Yangon (North),MMR013002,Mingaladon,66303,50443,15860
MMR013,Yangon,MMR013D001,Yangon (North),MMR013003,Hmawbi,56469,45464,11005
MMR013,Yangon,MMR013D001,Yangon (North),MMR013004,Hlegu,58023,45336,12687
MMR013,Yangon,MMR013D001,Yangon (North),MMR013005,Taikkyi,66999,53817,13182
MMR013,Yangon,MMR013D001,Yangon (North),MMR013006,Htantabin,34211,28678,5533
MMR013,Yangon,MMR013D001,Yangon (North),MMR013007,Shwepyithar,73775,56790,16985
MMR013,Yangon,MMR013D001,Yangon (North),MMR013008,Hlaingtharya,148711,118386,30325
MMR013,Yangon,MMR013D002,Yangon (East),MMR013009,Thingangyun,43320,30120,13200
MMR013,Yangon,MMR013D002,Yangon (East),MMR013010,Yankin,14637,9596,5041
MMR013,Yangon,MMR013D002,Yangon (East),MMR013011,South Okkalapa,32725,22904,9821
MMR013,Yangon,MMR013D002,Yangon (East),MMR013012,North Okkalapa,64756,47111,17645
MMR013,Yangon,MMR013D002,Yangon (East),MMR013013,Thaketa,45456,32313,13143
MMR013,Yangon,MMR013D002,Yangon (East),MMR013014,Dawbon,14409,10303,4106
MMR013,Yangon,MMR013D002,Yangon (East),MMR013015,Tamwe,35360,23978,11382
MMR013,Yangon,MMR013D002,Yangon (East),MMR013016,Pazundaung,10306,6873,3433
MMR013,Yangon,MMR013D002,Yangon (East),MMR013017,Botahtaung,8397,5872,2525
MMR013,Yangon,MMR013D002,Yangon (East),MMR013018,Dagon Myothit (South),76984,59357,17627
MMR013,Yangon,MMR013D002,Yangon (East),MMR013019,Dagon Myothit (North),42704,31678,11026
MMR013,Yangon,MMR013D002,Yangon (East),MMR013020,Dagon Myothit (East),33913,25590,8323
MMR013,Yangon,MMR013D002,Yangon (East),MMR013021,Dagon Myothit (Seikkan),37905,30570,7335
MMR013,Yangon,MMR013D002,Yangon (East),MMR013022,Mingalartaungnyunt,25918,18179,7739
MMR013,Yangon,MMR013D003,Yangon (South),MMR013023,Thanlyin,61597,47125,14472
MMR013,Yangon,MMR013D003,Yangon (South),MMR013024,Kyauktan,42469,34271,8198
MMR013,Yangon,MMR013D003,Yangon (South),MMR013025,Thongwa,40087,31932,8155
MMR013,Yangon,MMR013D003,Yangon (South),MMR013026,Kayan,39314,31430,7884
MMR013,Yangon,MMR013D003,Yangon (South),MMR013027,Twantay,51602,41597,10005
MMR013,Yangon,MMR013D003,Yangon (South),MMR013028,Kawhmu,29792,23744,6048
MMR013,Yangon,MMR013D003,Yangon (South),MMR013029,Kungyangon,28352,22846,5506
MMR013,Yangon,MMR013D003,Yangon (South),MMR013030,Dala,37912,29502,8410
MMR013,Yangon,MMR013D003,Yangon (South),MMR013031,Seikgyikanaungto,7729,5974,1755
MMR013,Yangon,MMR013D003,Yangon (South),MMR013032,Cocokyun,351,323,28
MMR013,Yangon,MMR013D004,Yangon (West),MMR013033,Kyauktada,6120,3779,2341
MMR013,Yangon,MMR013D004,Yangon (West),MMR013034,Pabedan,6563,4214,2349
MMR013,Yangon,MMR013D004,Yangon (West),MMR013035,Lanmadaw,8599,5418,3181
MMR013,Yangon,MMR013D004,Yangon (West),MMR013036,Latha,4473,2679,1794
MMR013,Yangon,MMR013D004,Yangon (West),MMR013037,Ahlone,10943,7754,3189
MMR013,Yangon,MMR013D004,Yangon (West),MMR013038,Kyeemyindaing,23062,16841,6221
MMR013,Yangon,MMR013D004,Yangon (West),MMR013039,Sanchaung,20635,13417,7218
MMR013,Yangon,MMR013D004,Yangon (West),MMR013040,Hlaing,32837,23184,9653
MMR013,Yangon,MMR013D004,Yangon (West),MMR013041,Kamaryut,16299,11021,5278
MMR013,Yangon,MMR013D004,Yangon (West),MMR013042,Mayangone,38807,27872,10935
MMR013,Yangon,MMR013D004,Yangon (West),MMR013043,Dagon,4608,3165,1443
MMR013,Yangon,MMR013D004,Yangon (West),MMR013044,Bahan,17426,11907,5519
MMR013,Yangon,MMR013D004,Yangon (West),MMR013045,Seikkan,410,341,69
MMR222,Shan,MMR014D001,Taunggyi,MMR014001,Taunggyi,94869,72354,22515
MMR222,Shan,MMR014D001,Taunggyi,MMR014002,Nyaungshwe,42634,34334,8300
MMR222,Shan,MMR014D001,Taunggyi,MMR014003,Hopong,24728,19600,5128
MMR222,Shan,MMR014D001,Taunggyi,MMR014004,Hsihseng,32771,26495,6276
MMR222,Shan,MMR014D001,Taunggyi,MMR014005,Kalaw,41341,30415,10926
MMR222,Shan,MMR014D001,Taunggyi,MMR014006,Pindaya,17544,12917,4627
MMR222,Shan,MMR014D001,Taunggyi,MMR014007,Ywangan,18348,13836,4512
