pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,usuact_10ab_t,usuact_10ab_govemp_t,usuact_10ab_priemp_t,usuact_10ab_empyr_t,usuact_10ab_ownacc_t,usuact_10ab_unpfam_t,usuact_10ab_seekw_t,usuact_10ab_nseekw_t,usuact_10ab_stu_t,usuact_10ab_hhwork_t,usuact_10ab_retir_t,usuact_10ab_ill_t,usuact_10ab_oth_t
MMR005,Sagaing,MMR005D004,Katha,MMR005020,Katha,132447,2789,17184,2806,42664,22050,1246,122,20886,14197,5495,690,2318
MMR005,Sagaing,MMR005D004,Katha,MMR005021,Indaw,94981,2028,5578,1318,28926,26831,709,46,14608,6609,6489,522,1317
MMR005,Sagaing,MMR005D004,Katha,MMR005022,Tigyaing,104649,1426,15367,2055,27538,15474,1762,254,13398,18918,5400,437,2620
MMR005,Sagaing,MMR005D004,Katha,MMR005023,Banmauk,86674,1082,15028,1713,22083,10152,1010,202,12213,15991,5534,363,1303
MMR005,Sagaing,MMR005D004,Katha,MMR005024,Kawlin,120575,2512,16238,3782,31912,19983,1928,133,14962,18309,8217,719,1880
MMR005,Sagaing,MMR005D004,Katha,MMR005025,Wuntho,58779,1722,5763,1346,15850,9133,737,155,7754,10532,3700,278,1809
MMR005,Sagaing,MMR005D004,Katha,MMR005026,Pinlebu,87808,1767,2785,370,21782,17401,6244,410,11323,15154,7821,577,2174
MMR005,Sagaing,MMR005D005,Kale,MMR005027,Kale,279101,8541,41866,5372,56714,25134,10156,1227,51400,52988,16939,2476,6288
MMR005,Sagaing,MMR005D005,Kale,MMR005028,Kalewa,45778,1055,5823,865,14948,10949,505,18,6156,3175,1623,214,447
MMR005,Sagaing,MMR005D005,Kale,MMR005029,Mingin,83577,1524,6353,920,23631,13520,2596,145,13075,14499,4940,480,1894
MMR005,Sagaing,MMR005D006,Tamu,MMR005030,Tamu,87399,1977,12052,2068,19418,7156,2360,481,16480,18003,4688,647,2069
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005031,Mawlaik,40741,1758,4458,927,11113,8918,458,69,6162,4426,1723,239,490
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005032,Paungbyin,85425,1938,7631,2697,26137,17915,1965,89,14280,7654,4081,399,639
MMR005,Sagaing,MMR005D008,Hkamti,MMR005033,Hkamti,38216,1710,7902,855,9813,5083,603,89,5665,4383,961,174,978
MMR005,Sagaing,MMR005D008,Hkamti,MMR005034,Homalin,197387,3853,37373,7715,40981,24424,5222,1150,30725,30921,9286,699,5038
MMR005,Sagaing,MMR005D008,Hkamti,MMR005035,Lay Shi,7424,438,780,18,1676,1989,91,6,1553,541,177,54,101
MMR005,Sagaing,MMR005D008,Hkamti,MMR005036,Lahe,38935,905,756,111,11247,14992,613,145,5524,2671,1369,227,375
MMR005,Sagaing,MMR005D008,Hkamti,MMR005037,Nanyun,37330,912,672,99,8141,12293,106,20,7631,4554,1717,276,909
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005016,Yinmabin,117263,2286,17429,4030,30003,21818,1810,170,17773,11935,7949,805,1255
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005018,Salingyi,102450,4215,19890,1430,23687,9579,2327,218,14101,16136,7014,764,3089
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005019,Pale,117974,1920,12490,3844,27627,20978,2646,223,16971,20159,8373,936,1807
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005017,Kani,109750,2285,10172,2705,25592,20343,3060,329,18032,16901,7178,890,2263
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006001,Dawei,119929,6618,22010,2064,24714,6735,3259,638,18106,21630,7822,1267,5066
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006002,Launglon,92801,2131,18686,2257,19856,5179,2565,492,15665,18345,5109,1207,1309
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006003,Thayetchaung,82825,2301,12438,864,16046,4994,3020,471,14772,19460,5280,1346,1833
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006004,Yebyu,96050,3863,15437,848,23658,6404,3304,440,16192,17777,4146,904,3077
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006005,Myeik,226673,8849,54678,2889,37606,6934,5955,1177,38957,47715,11897,1967,8049
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006006,Kyunsu,127207,2402,27598,2657,25471,13904,1807,1118,20251,24279,4097,906,2717
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006007,Palaw,98717,2903,14488,1347,18619,5370,3193,1861,17397,22130,5756,1194,4459
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006008,Tanintharyi,80559,2017,8585,835,21845,7813,2055,485,13869,15174,3289,715,3877
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006009,Kawthoung,109753,4558,29684,1906,17507,3711,1871,772,14622,25961,4244,848,4069
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006010,Bokpyin,61386,3112,13036,781,11733,4392,669,293,9276,14204,1621,293,1976
MMR111,Bago,MMR007D001,Bago,MMR007001,Bago,402587,15502,98661,9162,76574,11043,10531,1758,55796,79163,19398,3173,21826
MMR111,Bago,MMR007D001,Bago,MMR007002,Thanatpin,112151,1651,19340,4514,22180,4436,3536,496,17055,26417,5049,1089,6388
MMR111,Bago,MMR007D001,Bago,MMR007003,Kawa,154456,2315,29787,6726,24281,11466,4948,549,23989,36032,7225,1216,5922
MMR111,Bago,MMR007D001,Bago,MMR007004,Waw,136727,2257,28621,4406,23920,9534,4437,471,20769,28751,6860,1294,5407
MMR111,Bago,MMR007D001,Bago,MMR007005,Nyaunglebin,160823,3749,28163,5022,31847,8503,5541,530,23037,37714,10177,1625,4915
MMR111,Bago,MMR007D001,Bago,MMR007006,Kyauktaga,197197,3716,38002,6178,31482,17091,6028,686,29782,47623,10537,1395,4677
MMR111,Bago,MMR007D001,Bago,MMR007007,Daik-U,161472,3463,39848,6031,29591,9930,3564,460,21995,33762,8439,1426,2963
MMR111,Bago,MMR007D001,Bago,MMR007008,Shwegyin,82527,2694,12368,1347,19474,4615,2731,375,12460,18383,3979,681,3420
