pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,popdisab_notdisab_t,popdisab_anydiab_t,disabtype_see_t,disabtype_hear_t,disabtype_walk_t,disabtype_rmbr_t,popdisab_notdisab_m,popdisab_anydiab_m,disabtype_see_m,disabtype_hear_m,disabtype_walk_m,disabtype_rmbr_m,popdisab_notdisab_f,popdisab_anydiab_f,disabtype_see_f,disabtype_hear_f,disabtype_walk_f,disabtype_rmbr_f
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,65143,49788,15355,280460,26734,297871,9323,4535,2392,4062,3133,139398,4022,1810,902,1788,1350,158473,5301,2725,1490,2274,1783
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,25304,19620,5684,104622,2364,102809,4177,2182,1024,1756,1128,47188,1761,872,372,738,486,55621,2416,1310,652,1018,642
MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,24262,18072,6190,102391,4020,102000,4411,2442,1216,1936,1596,45824,1853,958,494,813,681,56176,2558,1484,722,1123,915
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,57297,42948,14349,257557,9250,258337,8470,4063,2485,3609,2426,120084,3552,1537,956,1523,1036,138253,4918,2526,1529,2086,1390
MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,32624,25709,6915,143497,2960,141958,4499,2137,1284,2050,1409,65990,1939,848,507,876,588,75968,2560,1289,777,1174,821
MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,46712,36592,10120,192658,3558,188268,7948,4060,2384,3602,2872,86795,3294,1596,893,1480,1197,101473,4654,2464,1491,2122,1675
MMR005,Sagaing,MMR005D002,Shwebo,MMR005007,Kanbalu,61326,49396,11930,290216,5345,287018,8543,4119,2196,3489,3066,136113,3831,1737,914,1462,1338,150905,4712,2382,1282,2027,1728
MMR005,Sagaing,MMR005D002,Shwebo,MMR005008,Kyunhla,20863,16848,4015,100853,3234,101933,2154,847,622,942,759,50161,964,322,276,412,306,51772,1190,525,346,530,453
MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,26373,17173,9200,113057,5233,113800,4490,2095,1379,2027,1425,49597,1825,726,501,818,578,64203,2665,1369,878,1209,847
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,30345,22764,7581,137613,3202,134505,6310,3299,1884,2708,2189,61769,2627,1255,713,1116,890,72736,3683,2044,1171,1592,1299
MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,35937,24386,11551,162314,2796,159073,6037,2604,1591,2878,2407,70001,2474,922,617,1178,1004,89072,3563,1682,974,1700,1403
MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,75962,56106,19856,349622,22473,358583,13512,7176,3135,5855,3168,166242,5709,2842,1252,2474,1375,192341,7803,4334,1883,3381,1793
MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,28616,19849,8767,119492,4047,118405,5134,2530,1348,2121,1565,52964,2142,962,510,934,684,65441,2992,1568,838,1187,881
MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,35591,27787,7804,152641,3128,149999,5770,2907,1731,2370,1922,68294,2440,1158,638,1004,783,81705,3330,1749,1093,1366,1139
MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,23376,17851,5525,101825,4130,101013,4942,2841,1437,2242,1771,46375,2081,1136,565,900,744,54638,2861,1705,872,1342,1027
MMR005,Sagaing,MMR005D004,Katha,MMR005020,Katha,31961,22812,9149,160711,7023,162954,4780,2350,1279,1683,1530,80195,2130,952,529,759,648,82759,2650,1398,750,924,882
MMR005,Sagaing,MMR005D004,Katha,MMR005021,Indaw,23230,15967,7263,116826,3440,117219,3047,981,813,1361,1170,55529,1285,365,316,573,484,61690,1762,616,497,788,686
MMR005,Sagaing,MMR005D004,Katha,MMR005022,Tigyaing,26389,19327,7062,123429,6526,126750,3205,1502,875,1330,1196,62298,1438,597,360,590,515,64452,1767,905,515,740,681
MMR005,Sagaing,MMR005D004,Katha,MMR005023,Banmauk,18868,14113,4755,102383,10285,109013,3655,1504,1189,1158,1276,55491,1704,641,504,522,561,53522,1951,863,685,636,715
MMR005,Sagaing,MMR005D004,Katha,MMR005024,Kawlin,31403,23582,7821,140228,5069,140851,4446,2043,1182,1809,1593,67765,2017,868,510,784,703,73086,2429,1175,672,1025,890
MMR005,Sagaing,MMR005D004,Katha,MMR005025,Wuntho,14205,10566,3639,69442,3953,71165,2230,867,619,808,729,34493,972,380,243,334,295,36672,1258,487,376,474,434
