pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,usuact_10ab_t,usuact_10ab_govemp_t,usuact_10ab_priemp_t,usuact_10ab_empyr_t,usuact_10ab_ownacc_t,usuact_10ab_unpfam_t,usuact_10ab_seekw_t,usuact_10ab_nseekw_t,usuact_10ab_stu_t,usuact_10ab_hhwork_t,usuact_10ab_retir_t,usuact_10ab_ill_t,usuact_10ab_oth_t,usuact_10ab_m,usuact_10ab_govemp_m,usuact_10ab_priemp_m,usuact_10ab_empyr_m,usuact_10ab_ownacc_m,usuact_10ab_unpfam_m,usuact_10ab_seekw_m,usuact_10ab_nseekw_m,usuact_10ab_stu_m,usuact_10ab_hhwork_m,usuact_10ab_retir_m,usuact_10ab_ill_m,usuact_10ab_oth_m,usuact_10ab_f,usuact_10ab_govemp_f,usuact_10ab_priemp_f,usuact_10ab_empyr_f,usuact_10ab_ownacc_f,usuact_10ab_unpfam_f,usuact_10ab_seekw_f,usuact_10ab_nseekw_f,usuact_10ab_stu_f,usuact_10ab_hhwork_f,usuact_10ab_retir_f,usuact_10ab_ill_f,usuact_10ab_oth_f,idcard_10ab_t,idcard_10ab_citi_t,idcard_10ab_assc_t,idcard_10ab_natu_t,idcard_10ab_natreg_t,idcard_10ab_relig_t,idcard_10ab_temp_t,idcard_10ab_forreg_t,idcard_10ab_forpp_t,idcard_10ab_non_t
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,8522,6154,2368,41561,1039,29724,1671,1178,84,6298,6268,605,63,8154,2748,1531,384,740,13211,1008,824,45,3040,2358,352,32,3999,144,733,187,489,16513,663,354,39,3258,3910,253,31,4155,2604,798,197,251,29724,23614,2,27,193,78,11,1,11,5787
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,10157,7742,2415,50520,831,37680,1934,2023,288,4690,8244,1080,352,10422,5711,2063,410,463,17211,1282,1265,139,2810,4178,693,209,4995,322,872,188,258,20469,652,758,149,1880,4066,387,143,5427,5389,1191,222,205,37680,30022,15,32,60,9,65,1,23,7453
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,3977,3130,847,20726,767,14788,845,802,58,2149,2622,327,61,4140,2680,655,147,302,6958,538,651,32,1373,1224,192,37,2185,193,262,61,210,7830,307,151,26,776,1398,135,24,1955,2487,393,86,92,14788,11173,4,9,18,34,24,1,18,3507
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa,19516,15985,3531,95265,1788,69891,1808,1711,571,20806,14737,1219,249,16154,8718,2529,574,815,32901,1276,1449,337,14075,4136,705,141,8672,441,893,256,520,36990,532,262,234,6731,10601,514,108,7482,8277,1636,318,295,69891,44368,39,108,502,108,627,5,97,24037
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,65143,49788,15355,280460,26734,261304,11062,40047,5484,76943,18835,4138,1136,36375,41725,18347,1581,5631,120061,5495,25170,3905,45083,5345,2348,683,18520,1820,7414,808,3470,141243,5567,14877,1579,31860,13490,1790,453,17855,39905,10933,773,2161,261304,191806,87,666,3144,7063,242,26,103,58167
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,25304,19620,5684,104622,2364,91463,1970,5019,1057,24542,9576,8924,1146,10224,19453,6864,696,1992,41139,880,3433,800,17276,3740,4438,662,4823,479,2773,345,1490,50324,1090,1586,257,7266,5836,4486,484,5401,18974,4091,351,502,91463,70261,30,243,1813,670,62,5,28,18351
MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,24262,18072,6190,102391,4020,90323,2237,15343,1763,21269,11187,2264,1243,10853,14986,6228,774,2176,39479,898,7948,1320,13604,3951,1201,672,5113,732,2423,365,1252,50844,1339,7395,443,7665,7236,1063,571,5740,14254,3805,409,924,90323,68523,27,134,1201,503,42,3,25,19865
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,57297,42948,14349,257557,9250,226001,6727,53491,6503,54246,15008,4245,540,28197,32528,16587,1655,6274,103230,3507,29537,4445,30642,5293,2325,328,14079,1105,6497,793,4679,122771,3220,23954,2058,23604,9715,1920,212,14118,31423,10090,862,1595,226001,157677,116,399,1970,1907,486,7,66,63373
MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,32624,25709,6915,143497,2960,122175,1746,16913,1881,33932,23466,1272,140,15995,15589,8234,877,2130,55674,766,9635,1237,22432,7534,522,79,7905,421,3126,452,1565,66501,980,7278,644,11500,15932,750,61,8090,15168,5108,425,565,122175,88751,24,207,1026,618,196,0,28,31325
MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,46712,36592,10120,192658,3558,165832,2521,25123,4203,47977,24264,2393,173,18877,23641,11900,1381,3379,74719,1114,14361,2914,29946,7893,1091,98,9231,427,4536,634,2474,91113,1407,10762,1289,18031,16371,1302,75,9646,23214,7364,747,905,165832,115233,44,379,1975,968,234,30,36,46933
MMR005,Sagaing,MMR005D002,Shwebo,MMR005007,Kanbalu,61326,49396,11930,290216,5345,239997,4212,21490,4137,77483,49025,3136,370,35111,25560,12931,1153,5389,111803,2410,12286,3092,49280,15048,1638,204,17655,1216,4881,562,3531,128194,1802,9204,1045,28203,33977,1498,166,17456,24344,8050,591,1858,239997,157115,83,352,776,1145,2285,6,73,78162
MMR005,Sagaing,MMR005D002,Shwebo,MMR005008,Kyunhla,20863,16848,4015,100853,3234,84148,1548,9521,1732,26505,14488,1403,132,11147,10849,4952,457,1414,41183,818,6904,1222,18120,4323,713,59,5499,310,1990,192,1033,42965,730,2617,510,8385,10165,690,73,5648,10539,2962,265,381,84148,65442,5,48,74,313,181,2,4,18079
MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,26373,17173,9200,113057,5233,97378,1967,11130,2120,26688,13380,2267,226,14928,13818,8213,934,1707,40775,831,5886,1199,14668,4398,1045,132,7210,533,3073,441,1359,56603,1136,5244,921,12020,8982,1222,94,7718,13285,5140,493,348,97378,71402,33,141,998,627,140,5,29,24003
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,30345,22764,7581,137613,3202,114448,1723,15484,5599,26847,17381,2123,314,16071,17726,8277,1062,1841,51150,777,8701,4397,17062,5536,1064,181,7940,427,3233,497,1335,63298,946,6783,1202,9785,11845,1059,133,8131,17299,5044,565,506,114448,82764,22,129,683,497,71,3,17,30262
MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,35937,24386,11551,162314,2796,133715,2007,7319,8538,29301,27101,4163,271,21007,21026,9616,1106,2260,56592,861,4617,5770,18257,8620,2023,130,10000,596,3667,534,1517,77123,1146,2702,2768,11044,18481,2140,141,11007,20430,5949,572,743,133715,96249,24,145,1059,628,199,1,11,35399
MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,75962,56106,19856,349622,22473,318078,13969,70149,9411,69688,16852,6939,959,43489,50470,20798,2218,13136,144675,7514,40631,6301,37815,6410,3901,606,20697,2114,8371,1129,9186,173403,6455,29518,3110,31873,10442,3038,353,22792,48356,12427,1089,3950,318078,234953,142,498,3190,4327,220,18,94,74636
MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,28616,19849,8767,119492,4047,101921,2074,17350,2767,26199,11499,1908,232,14188,14377,8477,1071,1779,44193,865,8952,1783,15270,3792,895,140,6978,310,3260,506,1442,57728,1209,8398,984,10929,7707,1013,92,7210,14067,5217,565,337,101921,80887,12,80,1163,671,26,0,14,19068
MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,35591,27787,7804,152641,3128,130318,2186,21017,2021,31101,10279,3247,297,15364,30078,10297,1181,3250,57949,1272,12814,1541,21680,4119,1713,188,7396,618,3837,567,2204,72369,914,8203,480,9421,6160,1534,109,7968,29460,6460,614,1046,130318,90608,34,166,1766,700,65,1,40,36938
MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,23376,17851,5525,101825,4130,89626,1869,20775,4211,21855,6626,1525,260,10261,13355,6109,718,2062,40155,776,10840,3028,12821,2160,733,148,4852,504,2361,360,1572,49471,1093,9935,1183,9034,4466,792,112,5409,12851,3748,358,490,89626,66641,30,153,513,652,91,2,15,21529
MMR005,Sagaing,MMR005D004,Katha,MMR005020,Katha,31961,22812,9149,160711,7023,132447,2789,17184,2806,42664,22050,1246,122,20886,14197,5495,690,2318,64434,1382,10648,1980,26251,8322,690,84,10216,549,2083,325,1904,68013,1407,6536,826,16413,13728,556,38,10670,13648,3412,365,414,132447,88698,89,326,845,717,437,14,30,41291
MMR005,Sagaing,MMR005D004,Katha,MMR005021,Indaw,23230,15967,7263,116826,3440,94981,2028,5578,1318,28926,26831,709,46,14608,6609,6489,522,1317,43997,936,3692,948,18741,8533,296,35,6910,407,2252,250,997,50984,1092,1886,370,10185,18298,413,11,7698,6202,4237,272,320,94981,79532,42,127,269,483,140,3,13,14372
MMR005,Sagaing,MMR005D004,Katha,MMR005022,Tigyaing,26389,19327,7062,123429,6526,104649,1426,15367,2055,27538,15474,1762,254,13398,18918,5400,437,2620,51069,677,10280,1688,19368,6459,1176,163,6487,734,2081,216,1740,53580,749,5087,367,8170,9015,586,91,6911,18184,3319,221,880,104649,76279,43,56,103,471,779,3,55,26860
MMR005,Sagaing,MMR005D004,Katha,MMR005023,Banmauk,18868,14113,4755,102383,10285,86674,1082,15028,1713,22083,10152,1010,202,12213,15991,5534,363,1303,43824,462,11598,1441,16462,3985,526,125,5743,368,1940,188,986,42850,620,3430,272,5621,6167,484,77,6470,15623,3594,175,317,86674,62868,27,118,460,405,154,1,10,22631
